Species,dataset,PC,Variance_Percentage
Lotus,singlecopy,PC17,3.48
Lotus,singlecopy,PC18,3.46
Lotus,singlecopy,PC19,3.43
Lotus,singlecopy,PC20,3.4
Lotus,singlecopy,PC21,3.38
Lotus,singlecopy,PC22,3.34
Lotus,singlecopy,PC23,3.3
Lotus,singlecopy,PC24,3.24
Lotus,singlecopy,PC25,3.1
Lotus,singlecopy,PC26,2.98
Lotus,singlecopy,PC27,0
Lotus,SCsuper,PC1,8.62
Lotus,SCsuper,PC2,5.49
Lotus,SCsuper,PC3,4.13
Lotus,SCsuper,PC4,4
Lotus,SCsuper,PC5,3.86
Lotus,SCsuper,PC6,3.82
Lotus,SCsuper,PC7,3.79
Lotus,SCsuper,PC8,3.76
Lotus,SCsuper,PC9,3.74
Lotus,SCsuper,PC10,3.73
Lotus,SCsuper,PC11,3.7
Lotus,SCsuper,PC12,3.68
Lotus,SCsuper,PC13,3.63
Lotus,SCsuper,PC14,3.61
Lotus,SCsuper,PC15,3.6
Lotus,SCsuper,PC16,3.58
Lotus,SCsuper,PC17,3.52
Lotus,SCsuper,PC18,3.51
Lotus,SCsuper,PC19,3.46
Lotus,SCsuper,PC20,3.41
Lotus,SCsuper,PC21,3.37
Lotus,SCsuper,PC22,3.33
Lotus,SCsuper,PC23,3.32
Lotus,SCsuper,PC24,3.23
Lotus,SCsuper,PC25,3.16
Lotus,SCsuper,PC26,2.94
Lotus,SCsuper,PC27,0
Lotus,BUSCOsuper,PC1,9.06
Lotus,BUSCOsuper,PC2,5.44
Lotus,BUSCOsuper,PC3,4.14
Lotus,BUSCOsuper,PC4,3.93
Lotus,BUSCOsuper,PC5,3.89
Lotus,BUSCOsuper,PC6,3.85
Lotus,BUSCOsuper,PC7,3.8
Lotus,BUSCOsuper,PC8,3.77
Lotus,BUSCOsuper,PC9,3.74
Lotus,BUSCOsuper,PC10,3.69
Lotus,BUSCOsuper,PC11,3.68
Lotus,BUSCOsuper,PC12,3.66
Lotus,BUSCOsuper,PC13,3.62
Lotus,BUSCOsuper,PC14,3.6
Lotus,BUSCOsuper,PC15,3.59
Lotus,BUSCOsuper,PC16,3.55
Lotus,BUSCOsuper,PC17,3.52
Lotus,BUSCOsuper,PC18,3.48
Lotus,BUSCOsuper,PC19,3.47
Lotus,BUSCOsuper,PC20,3.41
Lotus,BUSCOsuper,PC21,3.37
Lotus,BUSCOsuper,PC22,3.33
Lotus,BUSCOsuper,PC23,3.22
Lotus,BUSCOsuper,PC24,3.12
Lotus,BUSCOsuper,PC25,3.11
Lotus,BUSCOsuper,PC26,2.95
Lotus,BUSCOsuper,PC27,0
Lotus,BUSCO ,PC1,8.87
Lotus,BUSCO ,PC2,5.49
Lotus,BUSCO ,PC3,4.1
Lotus,BUSCO ,PC4,3.9
Lotus,BUSCO ,PC5,3.89
Lotus,BUSCO ,PC6,3.86
Lotus,BUSCO ,PC7,3.8
Lotus,BUSCO ,PC8,3.77
Lotus,BUSCO ,PC9,3.73
Lotus,BUSCO ,PC10,3.71
Lotus,BUSCO ,PC11,3.7
Lotus,BUSCO ,PC12,3.66
Lotus,BUSCO ,PC13,3.61
Lotus,BUSCO ,PC14,3.57
Lotus,BUSCO ,PC15,3.55
Lotus,BUSCO ,PC16,3.52
Lotus,BUSCO ,PC17,3.5
Lotus,BUSCO ,PC18,3.49
Lotus,BUSCO ,PC19,3.46
Lotus,BUSCO ,PC20,3.45
Lotus,BUSCO ,PC21,3.4
Lotus,BUSCO ,PC22,3.37
Lotus,BUSCO ,PC23,3.24
Lotus,BUSCO ,PC24,3.16
Lotus,BUSCO ,PC25,3.12
Lotus,BUSCO ,PC26,3.06
Lotus,BUSCO ,PC27,0
Malania,353_super,PC1,6.47
Malania,353_super,PC2,5.61
Malania,353_super,PC3,5.24
Malania,353_super,PC4,4.86
Malania,353_super,PC5,4.54
Malania,353_super,PC6,4.39
Malania,353_super,PC7,4.24
Malania,353_super,PC8,3.96
Malania,353_super,PC9,3.76
Malania,353_super,PC10,3.67
Malania,353_super,PC11,3.51
Malania,353_super,PC12,3.46
Malania,353_super,PC13,3.32
Malania,353_super,PC14,3.15
Malania,353_super,PC15,3
Malania,353_super,PC16,2.99
Malania,353_super,PC17,2.94
Malania,353_super,PC18,2.84
Malania,353_super,PC19,2.7
Malania,353_super,PC20,2.67
Malania,353_super,PC21,2.56
Malania,353_super,PC22,2.48
Malania,353_super,PC23,2.3
Malania,353_super,PC24,2.22
Malania,353_super,PC25,2.1
Malania,353_super,PC26,2.09
Malania,353_super,PC27,1.94
Malania,353_super,PC28,1.88
Malania,353_super,PC29,1.78
Malania,353_super,PC30,1.7
Malania,353_super,PC31,1.64
Malania,353_super,PC32,0
Malania,353_gene,PC1,8.78
Malania,353_gene,PC2,7.17
Malania,353_gene,PC3,6.68
Malania,353_gene,PC4,6.23
Malania,353_gene,PC5,6.06
Malania,353_gene,PC6,5.32
Malania,353_gene,PC7,5.04
Malania,353_gene,PC8,4.78
Malania,353_gene,PC9,4.42
Malania,353_gene,PC10,4.09
Malania,353_gene,PC11,3.86
Malania,353_gene,PC12,3.32
Malania,353_gene,PC13,3.18
Malania,353_gene,PC14,2.99
Malania,353_gene,PC15,2.87
Malania,353_gene,PC16,2.73
Malania,353_gene,PC17,2.39
Malania,353_gene,PC18,2.31
Malania,353_gene,PC19,2.19
Malania,353_gene,PC20,2.03
Malania,353_gene,PC21,1.95
Malania,353_gene,PC22,1.62
Malania,353_gene,PC23,1.57
Malania,353_gene,PC24,1.5
Malania,353_gene,PC25,1.4
Malania,353_gene,PC26,1.16
Malania,353_gene,PC27,1.14
Malania,353_gene,PC28,0.98
Malania,353_gene,PC29,0.88
Malania,353_gene,PC30,0.72
Malania,353_gene,PC31,0.65
Malania,353_gene,PC32,0
Malania,singlecopy,PC1,14.68
Malania,singlecopy,PC2,12.4
Malania,singlecopy,PC3,11.96
Malania,singlecopy,PC4,9.97
Malania,singlecopy,PC5,8.5
Malania,singlecopy,PC6,7.1
Malania,singlecopy,PC7,6.54
Malania,singlecopy,PC8,5.07
Malania,singlecopy,PC9,4.83
Malania,singlecopy,PC10,3.35
Malania,singlecopy,PC11,2.98
Malania,singlecopy,PC12,2.57
Malania,singlecopy,PC13,2.39
Malania,singlecopy,PC14,2.19
Malania,singlecopy,PC15,1.45
Malania,singlecopy,PC16,1.18
Malania,singlecopy,PC17,0.98
Malania,singlecopy,PC18,0.69
Malania,singlecopy,PC19,0.52
Malania,singlecopy,PC20,0.35
Malania,singlecopy,PC21,0.18
Malania,singlecopy,PC22,0.08
Malania,singlecopy,PC23,0.07
Malania,singlecopy,PC24,0
Malania,singlecopy,PC25,0
Malania,singlecopy,PC26,0
Malania,singlecopy,PC27,0
Malania,singlecopy,PC28,0
Malania,singlecopy,PC29,0
Malania,singlecopy,PC30,0
Malania,singlecopy,PC31,0
Malania,singlecopy,PC32,0
Malania,BUSCO,PC1,6.05
Malania,BUSCO,PC2,4.39
Malania,BUSCO,PC3,4.26
Malania,BUSCO,PC4,3.97
Malania,BUSCO,PC5,3.85
Malania,BUSCO,PC6,3.75
Malania,BUSCO,PC7,3.67
Malania,BUSCO,PC8,3.56
Malania,BUSCO,PC9,3.5
Malania,BUSCO,PC10,3.36
Malania,BUSCO,PC11,3.32
Malania,BUSCO,PC12,3.21
Malania,BUSCO,PC13,3.21
Malania,BUSCO,PC14,3.18
Malania,BUSCO,PC15,3.14
Malania,BUSCO,PC16,3.07
Malania,BUSCO,PC17,3.05
Malania,BUSCO,PC18,2.97
Malania,BUSCO,PC19,2.92
Malania,BUSCO,PC20,2.84
Malania,BUSCO,PC21,2.82
Malania,BUSCO,PC22,2.79
Malania,BUSCO,PC23,2.77
Malania,BUSCO,PC24,2.76
Malania,BUSCO,PC25,2.67
Malania,BUSCO,PC26,2.63
Malania,BUSCO,PC27,2.57
Malania,BUSCO,PC28,2.53
Malania,BUSCO,PC29,2.46
Malania,BUSCO,PC30,2.41
Malania,BUSCO,PC31,2.32
Malania,BUSCO,PC32,0
Malania,SCsuper,PC1,6.23
Malania,SCsuper,PC2,4.62
Malania,SCsuper,PC3,4.55
Malania,SCsuper,PC4,4.34
Malania,SCsuper,PC5,4.18
Malania,SCsuper,PC6,4.02
Malania,SCsuper,PC7,3.9
Malania,SCsuper,PC8,3.76
Malania,SCsuper,PC9,3.63
Malania,SCsuper,PC10,3.63
Malania,SCsuper,PC11,3.42
Malania,SCsuper,PC12,3.39
Malania,SCsuper,PC13,3.3
Malania,SCsuper,PC14,3.13
Malania,SCsuper,PC15,3.07
Malania,SCsuper,PC16,3.03
Malania,SCsuper,PC17,3
Malania,SCsuper,PC18,2.94
Malania,SCsuper,PC19,2.87
Malania,SCsuper,PC20,2.85
Malania,SCsuper,PC21,2.74
Malania,SCsuper,PC22,2.63
Malania,SCsuper,PC23,2.62
Malania,SCsuper,PC24,2.48
Malania,SCsuper,PC25,2.39
Malania,SCsuper,PC26,2.38
Malania,SCsuper,PC27,2.34
Malania,SCsuper,PC28,2.24
Malania,SCsuper,PC29,2.19
Malania,SCsuper,PC30,2.12
Malania,SCsuper,PC31,2.03
Malania,SCsuper,PC32,0
Malania,genome,PC1,13.29
Malania,genome,PC2,6.35
Malania,genome,PC3,5.49
Malania,genome,PC4,5.31
Malania,genome,PC5,4.96
Malania,genome,PC6,4.36
Malania,genome,PC7,4.06
Malania,genome,PC8,4.01
Malania,genome,PC9,3.95
Malania,genome,PC10,3.15
Malania,genome,PC11,3.05
Malania,genome,PC12,2.84
Malania,genome,PC13,2.73
Malania,genome,PC14,2.66
Malania,genome,PC15,2.55
Malania,genome,PC16,2.54
Malania,genome,PC17,2.46
Malania,genome,PC18,2.35
Malania,genome,PC19,2.31
Malania,genome,PC20,2.17
Malania,genome,PC21,2.08
Malania,genome,PC22,2.03
Malania,genome,PC23,1.94
Malania,genome,PC24,1.89
Malania,genome,PC25,1.86
Malania,genome,PC26,1.79
Malania,genome,PC27,1.77
Malania,genome,PC28,1.66
Malania,genome,PC29,1.49
Malania,genome,PC30,1.46
Malania,genome,PC31,1.43
Malania,genome,PC32,0
Malania,BUSCOsuper,PC1,6.18
Malania,BUSCOsuper,PC2,4.54
Malania,BUSCOsuper,PC3,4.13
Malania,BUSCOsuper,PC4,3.96
Malania,BUSCOsuper,PC5,3.9
Malania,BUSCOsuper,PC6,3.83
Malania,BUSCOsuper,PC7,3.68
Malania,BUSCOsuper,PC8,3.53
Malania,BUSCOsuper,PC9,3.44
Malania,BUSCOsuper,PC10,3.35
Malania,BUSCOsuper,PC11,3.29
Malania,BUSCOsuper,PC12,3.21
Malania,BUSCOsuper,PC13,3.15
Malania,BUSCOsuper,PC14,3.13
Malania,BUSCOsuper,PC15,3.12
Malania,BUSCOsuper,PC16,3.04
Malania,BUSCOsuper,PC17,2.99
Malania,BUSCOsuper,PC18,2.96
Malania,BUSCOsuper,PC19,2.92
Malania,BUSCOsuper,PC20,2.85
Malania,BUSCOsuper,PC21,2.83
Malania,BUSCOsuper,PC22,2.77
Malania,BUSCOsuper,PC23,2.74
Malania,BUSCOsuper,PC24,2.71
Malania,BUSCOsuper,PC25,2.67
Malania,BUSCOsuper,PC26,2.64
Malania,BUSCOsuper,PC27,2.63
Malania,BUSCOsuper,PC28,2.54
Malania,BUSCOsuper,PC29,2.47
Malania,BUSCOsuper,PC30,2.43
Malania,BUSCOsuper,PC31,2.37
Malania,BUSCOsuper,PC32,0
Medicago,353_gene,PC1,32.97
Medicago,353_gene,PC2,29.76
Medicago,353_gene,PC3,22.62
Medicago,353_gene,PC4,14.66
Medicago,353_gene,PC5,0
Medicago,353_gene,PC6,0
Medicago,353_gene,PC7,0
Medicago,353_gene,PC8,0
Medicago,353_gene,PC9,0
Medicago,353_gene,PC10,0
Medicago,353_gene,PC11,0
Medicago,353_gene,PC12,0
Medicago,353_gene,PC13,0
Medicago,353_gene,PC14,0
Medicago,353_gene,PC15,0
Medicago,353_gene,PC16,0
Medicago,353_gene,PC17,0
Medicago,353_gene,PC18,0
Medicago,353_gene,PC19,0
Medicago,353_gene,PC20,0
Medicago,353_gene,PC21,0
Medicago,353_gene,PC22,0
Medicago,353_gene,PC23,0
Medicago,353_gene,PC24,0
Medicago,353_gene,PC25,0
Medicago,353_gene,PC26,0
Medicago,353_gene,PC27,0
Medicago,353_gene,PC28,0
Medicago,353_gene,PC29,0
Medicago,353_gene,PC30,0
Medicago,353_gene,PC31,0
Medicago,353_gene,PC32,0
Medicago,singlecopy,PC1,10.73
Medicago,singlecopy,PC2,9.76
Medicago,singlecopy,PC3,5.72
Medicago,singlecopy,PC4,5.17
Medicago,singlecopy,PC5,4.75
Medicago,singlecopy,PC6,4.55
Medicago,singlecopy,PC7,4.28
Medicago,singlecopy,PC8,4
Medicago,singlecopy,PC9,3.74
Medicago,singlecopy,PC10,3.66
Medicago,singlecopy,PC11,3.22
Medicago,singlecopy,PC12,3.1
Medicago,singlecopy,PC13,2.91
Medicago,singlecopy,PC14,2.85
Medicago,singlecopy,PC15,2.71
Medicago,singlecopy,PC16,2.55
Medicago,singlecopy,PC17,2.5
Medicago,singlecopy,PC18,2.41
Medicago,singlecopy,PC19,2.23
Medicago,singlecopy,PC20,2.09
Medicago,singlecopy,PC21,1.91
Medicago,singlecopy,PC22,1.79
Medicago,singlecopy,PC23,1.76
Medicago,singlecopy,PC24,1.64
Medicago,singlecopy,PC25,1.51
Medicago,singlecopy,PC26,1.47
Medicago,singlecopy,PC27,1.37
Medicago,singlecopy,PC28,1.33
Medicago,singlecopy,PC29,1.27
Medicago,singlecopy,PC30,1.13
Medicago,singlecopy,PC31,0.98
Medicago,singlecopy,PC32,0.91
Medicago,SCsuper,PC1,9.88
Medicago,SCsuper,PC2,6.55
Medicago,SCsuper,PC3,5.4
Medicago,SCsuper,PC4,5.01
Medicago,SCsuper,PC5,4.38
Medicago,SCsuper,PC6,4.12
Medicago,SCsuper,PC7,3.79
Medicago,SCsuper,PC8,3.77
Medicago,SCsuper,PC9,3.7
Medicago,SCsuper,PC10,3.5
Medicago,SCsuper,PC11,3.3
Medicago,SCsuper,PC12,3.23
Medicago,SCsuper,PC13,3.09
Medicago,SCsuper,PC14,2.97
Medicago,SCsuper,PC15,2.94
Medicago,SCsuper,PC16,2.85
Medicago,SCsuper,PC17,2.69
Medicago,SCsuper,PC18,2.66
Medicago,SCsuper,PC19,2.46
Medicago,SCsuper,PC20,2.45
Medicago,SCsuper,PC21,2.34
Medicago,SCsuper,PC22,2.24
Medicago,SCsuper,PC23,2.08
Medicago,SCsuper,PC24,2.01
Medicago,SCsuper,PC25,1.96
Medicago,SCsuper,PC26,1.89
Medicago,SCsuper,PC27,1.75
Medicago,SCsuper,PC28,1.53
Medicago,SCsuper,PC29,1.49
Medicago,SCsuper,PC30,1.46
Medicago,SCsuper,PC31,1.35
Medicago,SCsuper,PC32,1.15
Medicago,genome,PC1,10.8
Medicago,genome,PC2,7.56
Medicago,genome,PC3,7.12
Medicago,genome,PC4,4.09
Medicago,genome,PC5,3.2
Medicago,genome,PC6,3.12
Medicago,genome,PC7,3.03
Medicago,genome,PC8,2.93
Medicago,genome,PC9,2.91
Medicago,genome,PC10,2.86
Medicago,genome,PC11,2.85
Medicago,genome,PC12,2.8
Medicago,genome,PC13,2.78
Medicago,genome,PC14,2.72
Medicago,genome,PC15,2.7
Medicago,genome,PC16,2.67
Medicago,genome,PC17,2.66
Medicago,genome,PC18,2.63
Medicago,genome,PC19,2.57
Medicago,genome,PC20,2.5
Medicago,genome,PC21,2.47
Medicago,genome,PC22,2.42
Medicago,genome,PC23,2.35
Medicago,genome,PC24,2.31
Medicago,genome,PC25,2.29
Medicago,genome,PC26,2.28
Medicago,genome,PC27,2.23
Medicago,genome,PC28,2.21
Medicago,genome,PC29,2.19
Medicago,genome,PC30,2.1
Medicago,genome,PC31,1.84
Medicago,genome,PC32,0.78
Medicago,BUSCOsuper,PC1,6.04
Medicago,BUSCOsuper,PC2,4.96
Medicago,BUSCOsuper,PC3,4.73
Medicago,BUSCOsuper,PC4,4.36
Medicago,BUSCOsuper,PC5,4.21
Medicago,BUSCOsuper,PC6,3.96
Medicago,BUSCOsuper,PC7,3.84
Medicago,BUSCOsuper,PC8,3.78
Medicago,BUSCOsuper,PC9,3.76
Medicago,BUSCOsuper,PC10,3.67
Medicago,BUSCOsuper,PC11,3.47
Medicago,BUSCOsuper,PC12,3.38
Medicago,BUSCOsuper,PC13,3.27
Medicago,BUSCOsuper,PC14,3.15
Medicago,BUSCOsuper,PC15,3.05
Medicago,BUSCOsuper,PC16,3
Medicago,BUSCOsuper,PC17,2.92
Medicago,BUSCOsuper,PC18,2.91
Medicago,BUSCOsuper,PC19,2.84
Medicago,BUSCOsuper,PC20,2.73
Medicago,BUSCOsuper,PC21,2.56
Medicago,BUSCOsuper,PC22,2.5
Medicago,BUSCOsuper,PC23,2.42
Medicago,BUSCOsuper,PC24,2.35
Medicago,BUSCOsuper,PC25,2.33
Medicago,BUSCOsuper,PC26,2.26
Medicago,BUSCOsuper,PC27,2.14
Medicago,BUSCOsuper,PC28,2.08
Medicago,BUSCOsuper,PC29,2.06
Medicago,BUSCOsuper,PC30,1.92
Medicago,BUSCOsuper,PC31,1.83
Medicago,BUSCOsuper,PC32,1.5
Medicago,BUSCO,PC1,9.09
Medicago,BUSCO,PC2,6.22
Medicago,BUSCO,PC3,5.29
Medicago,BUSCO,PC4,4.7
Medicago,BUSCO,PC5,4.57
Medicago,BUSCO,PC6,4.45
Medicago,BUSCO,PC7,4.22
Medicago,BUSCO,PC8,3.77
Medicago,BUSCO,PC9,3.74
Medicago,BUSCO,PC10,3.62
Medicago,BUSCO,PC11,3.37
Medicago,BUSCO,PC12,3.31
Medicago,BUSCO,PC13,3.24
Medicago,BUSCO,PC14,3.06
Medicago,BUSCO,PC15,3
Medicago,BUSCO,PC16,2.9
Medicago,BUSCO,PC17,2.76
Medicago,BUSCO,PC18,2.63
Medicago,BUSCO,PC19,2.52
Medicago,BUSCO,PC20,2.42
Medicago,BUSCO,PC21,2.29
Medicago,BUSCO,PC22,2.21
Medicago,BUSCO,PC23,2.16
Medicago,BUSCO,PC24,2.1
Medicago,BUSCO,PC25,1.91
Medicago,BUSCO,PC26,1.83
Medicago,BUSCO,PC27,1.73
Medicago,BUSCO,PC28,1.63
Medicago,BUSCO,PC29,1.54
Medicago,BUSCO,PC30,1.46
Medicago,BUSCO,PC31,1.19
Medicago,BUSCO,PC32,1.06
Medicago,353_super,PC1,11.06
Medicago,353_super,PC2,10.51
Medicago,353_super,PC3,9.13
Medicago,353_super,PC4,8.22
Medicago,353_super,PC5,7.54
Medicago,353_super,PC6,7.35
Medicago,353_super,PC7,5.87
Medicago,353_super,PC8,5.07
Medicago,353_super,PC9,4.93
Medicago,353_super,PC10,4.43
Medicago,353_super,PC11,3.99
Medicago,353_super,PC12,3.64
Medicago,353_super,PC13,3.07
Medicago,353_super,PC14,2.58
Medicago,353_super,PC15,2.32
Medicago,353_super,PC16,1.81
Medicago,353_super,PC17,1.68
Medicago,353_super,PC18,1.53
Medicago,353_super,PC19,1.23
Medicago,353_super,PC20,1.1
Medicago,353_super,PC21,0.9
Medicago,353_super,PC22,0.8
Medicago,353_super,PC23,0.43
Medicago,353_super,PC24,0.34
Medicago,353_super,PC25,0.22
Medicago,353_super,PC26,0.12
Medicago,353_super,PC27,0.09
Medicago,353_super,PC28,0.04
Medicago,353_super,PC29,0
Medicago,353_super,PC30,0
Medicago,353_super,PC31,0
Medicago,353_super,PC32,0
Plectropomus,353_super,PC1,8.58
Plectropomus,353_super,PC2,7.98
Plectropomus,353_super,PC3,7.06
Plectropomus,353_super,PC4,5.8
Plectropomus,353_super,PC5,5.22
Plectropomus,353_super,PC6,4.84
Plectropomus,353_super,PC7,4.3
Plectropomus,353_super,PC8,4.06
Plectropomus,353_super,PC9,3.85
Plectropomus,353_super,PC10,3.7
Plectropomus,353_super,PC11,3.49
Plectropomus,353_super,PC12,3.41
Plectropomus,353_super,PC13,3.35
Plectropomus,353_super,PC14,3.22
Plectropomus,353_super,PC15,3.15
Plectropomus,353_super,PC16,3.06
Plectropomus,353_super,PC17,2.99
Plectropomus,353_super,PC18,2.81
Plectropomus,353_super,PC19,2.76
Plectropomus,353_super,PC20,2.63
Plectropomus,353_super,PC21,2.55
Plectropomus,353_super,PC22,2.49
Plectropomus,353_super,PC23,2.34
Plectropomus,353_super,PC24,2.21
Plectropomus,353_super,PC25,2.11
Plectropomus,353_super,PC26,2.02
Plectropomus,353_super,PC27,0
Plectropomus,353_gene,PC1,11.2
Plectropomus,353_gene,PC2,10.83
Plectropomus,353_gene,PC3,8.09
Plectropomus,353_gene,PC4,7.77
Plectropomus,353_gene,PC5,6.82
Plectropomus,353_gene,PC6,6.18
Plectropomus,353_gene,PC7,5.71
Plectropomus,353_gene,PC8,5.23
Plectropomus,353_gene,PC9,4.62
Plectropomus,353_gene,PC10,4.53
Plectropomus,353_gene,PC11,4.17
Plectropomus,353_gene,PC12,3.68
Plectropomus,353_gene,PC13,3.13
Plectropomus,353_gene,PC14,2.94
Plectropomus,353_gene,PC15,2.61
Plectropomus,353_gene,PC16,2.09
Plectropomus,353_gene,PC17,1.77
Plectropomus,353_gene,PC18,1.55
Plectropomus,353_gene,PC19,1.39
Plectropomus,353_gene,PC20,1.24
Plectropomus,353_gene,PC21,1.09
Plectropomus,353_gene,PC22,1.03
Plectropomus,353_gene,PC23,0.82
Plectropomus,353_gene,PC24,0.78
Plectropomus,353_gene,PC25,0.44
Plectropomus,353_gene,PC26,0.31
Plectropomus,353_gene,PC27,0
Plectropomus,singlecopy,PC1,5.19
Plectropomus,singlecopy,PC2,4.81
Plectropomus,singlecopy,PC3,4.79
Plectropomus,singlecopy,PC4,4.55
Plectropomus,singlecopy,PC5,4.21
Plectropomus,singlecopy,PC6,4.17
Plectropomus,singlecopy,PC7,4.14
Plectropomus,singlecopy,PC8,4.08
Plectropomus,singlecopy,PC9,3.94
Plectropomus,singlecopy,PC10,3.93
Plectropomus,singlecopy,PC11,3.87
Plectropomus,singlecopy,PC12,3.77
Plectropomus,singlecopy,PC13,3.74
Plectropomus,singlecopy,PC14,3.7
Plectropomus,singlecopy,PC15,3.66
Plectropomus,singlecopy,PC16,3.62
Plectropomus,singlecopy,PC17,3.57
Plectropomus,singlecopy,PC18,3.54
Plectropomus,singlecopy,PC19,3.5
Plectropomus,singlecopy,PC20,3.44
Plectropomus,singlecopy,PC21,3.42
Plectropomus,singlecopy,PC22,3.38
Plectropomus,singlecopy,PC23,3.34
Plectropomus,singlecopy,PC24,3.26
Plectropomus,singlecopy,PC25,3.21
Plectropomus,singlecopy,PC26,3.15
Plectropomus,singlecopy,PC27,0
Plectropomus,SCsuper,PC1,6.55
Plectropomus,SCsuper,PC2,6.23
Plectropomus,SCsuper,PC3,5.4
Plectropomus,SCsuper,PC4,5.21
Plectropomus,SCsuper,PC5,4.48
Plectropomus,SCsuper,PC6,4.23
Plectropomus,SCsuper,PC7,4.17
Plectropomus,SCsuper,PC8,4.11
Plectropomus,SCsuper,PC9,3.99
Plectropomus,SCsuper,PC10,3.82
Plectropomus,SCsuper,PC11,3.74
Plectropomus,SCsuper,PC12,3.62
Plectropomus,SCsuper,PC13,3.57
Plectropomus,SCsuper,PC14,3.5
Plectropomus,SCsuper,PC15,3.44
Plectropomus,SCsuper,PC16,3.41
Plectropomus,SCsuper,PC17,3.31
Plectropomus,SCsuper,PC18,3.24
Plectropomus,SCsuper,PC19,3.18
Plectropomus,SCsuper,PC20,3.15
Plectropomus,SCsuper,PC21,3.11
Plectropomus,SCsuper,PC22,3.1
Plectropomus,SCsuper,PC23,3.05
Plectropomus,SCsuper,PC24,2.86
Plectropomus,SCsuper,PC25,2.82
Plectropomus,SCsuper,PC26,2.72
Plectropomus,SCsuper,PC27,0
Plectropomus,genome,PC1,7.38
Plectropomus,genome,PC2,7.11
Plectropomus,genome,PC3,5.89
Plectropomus,genome,PC4,5.6
Plectropomus,genome,PC5,4.66
Plectropomus,genome,PC6,4.36
Plectropomus,genome,PC7,4.21
Plectropomus,genome,PC8,4.12
Plectropomus,genome,PC9,4
Plectropomus,genome,PC10,3.82
Plectropomus,genome,PC11,3.75
Plectropomus,genome,PC12,3.54
Plectropomus,genome,PC13,3.47
Plectropomus,genome,PC14,3.39
Plectropomus,genome,PC15,3.32
Plectropomus,genome,PC16,3.27
Plectropomus,genome,PC17,3.19
Plectropomus,genome,PC18,3.06
Plectropomus,genome,PC19,3.02
Plectropomus,genome,PC20,2.95
Plectropomus,genome,PC21,2.9
Plectropomus,genome,PC22,2.82
Plectropomus,genome,PC23,2.77
Plectropomus,genome,PC24,2.53
Plectropomus,genome,PC25,2.47
Plectropomus,genome,PC26,2.42
Plectropomus,genome,PC27,0
Plectropomus,BUSCOsuper,PC1,6.56
Plectropomus,BUSCOsuper,PC2,6.3
Plectropomus,BUSCOsuper,PC3,5.44
Plectropomus,BUSCOsuper,PC4,5.33
Plectropomus,BUSCOsuper,PC5,4.49
Plectropomus,BUSCOsuper,PC6,4.32
Plectropomus,BUSCOsuper,PC7,4.18
Plectropomus,BUSCOsuper,PC8,4.07
Plectropomus,BUSCOsuper,PC9,3.95
Plectropomus,BUSCOsuper,PC10,3.9
Plectropomus,BUSCOsuper,PC11,3.76
Plectropomus,BUSCOsuper,PC12,3.55
Plectropomus,BUSCOsuper,PC13,3.54
Plectropomus,BUSCOsuper,PC14,3.5
Plectropomus,BUSCOsuper,PC15,3.45
Plectropomus,BUSCOsuper,PC16,3.39
Plectropomus,BUSCOsuper,PC17,3.28
Plectropomus,BUSCOsuper,PC18,3.21
Plectropomus,BUSCOsuper,PC19,3.21
Plectropomus,BUSCOsuper,PC20,3.14
Plectropomus,BUSCOsuper,PC21,3.09
Plectropomus,BUSCOsuper,PC22,3.04
Plectropomus,BUSCOsuper,PC23,3.02
Plectropomus,BUSCOsuper,PC24,2.82
Plectropomus,BUSCOsuper,PC25,2.78
Plectropomus,BUSCOsuper,PC26,2.66
Plectropomus,BUSCOsuper,PC27,0
Plectropomus,BUSCO,PC1,7.87
Plectropomus,BUSCO,PC2,7.21
Plectropomus,BUSCO,PC3,6.17
Plectropomus,BUSCO,PC4,5.35
Plectropomus,BUSCO,PC5,4.99
Plectropomus,BUSCO,PC6,4.5
Plectropomus,BUSCO,PC7,4.22
Plectropomus,BUSCO,PC8,4.02
Plectropomus,BUSCO,PC9,3.93
Plectropomus,BUSCO,PC10,3.79
Plectropomus,BUSCO,PC11,3.68
Plectropomus,BUSCO,PC12,3.58
Plectropomus,BUSCO,PC13,3.47
Plectropomus,BUSCO,PC14,3.31
Plectropomus,BUSCO,PC15,3.24
Plectropomus,BUSCO,PC16,3.19
Plectropomus,BUSCO,PC17,3.13
Plectropomus,BUSCO,PC18,3.05
Plectropomus,BUSCO,PC19,2.95
Plectropomus,BUSCO,PC20,2.85
Plectropomus,BUSCO,PC21,2.81
Plectropomus,BUSCO,PC22,2.71
Plectropomus,BUSCO,PC23,2.65
Plectropomus,BUSCO,PC24,2.58
Plectropomus,BUSCO,PC25,2.43
Plectropomus,BUSCO,PC26,2.35
Plectropomus,BUSCO,PC27,0
Populus,353_gene,PC1,16.22
Populus,353_gene,PC2,4.11
Populus,353_gene,PC3,3.81
Populus,353_gene,PC4,3.73
Populus,353_gene,PC5,3.51
Populus,353_gene,PC6,3.43
Populus,353_gene,PC7,3.31
Populus,353_gene,PC8,3.25
Populus,353_gene,PC9,3.21
Populus,353_gene,PC10,3.08
Populus,353_gene,PC11,3.02
Populus,353_gene,PC12,2.95
Populus,353_gene,PC13,2.88
Populus,353_gene,PC14,2.85
Populus,353_gene,PC15,2.75
