Sample,Het,adjusted_het,num_sites,site_adjusted,taxa,life_history,breeding_system,genome_size
UCE,0.00785572,8.36E-08,7.36E+04,1.07E-07,Malania_oleifera,perennial,outcrossing,large
genome,0.00477358,3.19E-12,1.37E+09,3.48E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00492904,3.30E-12,1.37E+09,3.60E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00333591,2.23E-12,1.39E+09,2.40E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00471763,3.16E-12,1.39E+09,3.38E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00386581,2.59E-12,1.35E+09,2.86E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00557889,3.73E-12,1.36E+09,4.10E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00669312,4.48E-12,1.36E+09,4.92E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00761013,5.09E-12,1.35E+09,5.64E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00360532,2.41E-12,1.37E+09,2.64E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.0036788,2.46E-12,1.38E+09,2.67E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00532935,3.57E-12,1.33E+09,3.99E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00653565,4.37E-12,1.34E+09,4.89E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00517698,3.46E-12,1.37E+09,3.79E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00612001,4.10E-12,1.35E+09,4.55E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00429138,2.87E-12,1.38E+09,3.12E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00457775,3.06E-12,1.38E+09,3.33E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00324478,2.17E-12,1.37E+09,2.36E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00305753,2.05E-12,1.39E+09,2.19E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00350516,2.35E-12,1.34E+09,2.61E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00313221,2.10E-12,1.28E+09,2.45E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00689325,4.61E-12,1.35E+09,5.12E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00716883,4.80E-12,1.37E+09,5.24E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00526265,3.52E-12,1.41E+09,3.74E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00533101,3.57E-12,1.41E+09,3.77E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.0034485,2.31E-12,1.37E+09,2.52E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00324727,2.17E-12,1.37E+09,2.36E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00379621,2.54E-12,1.40E+09,2.72E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00399856,2.68E-12,1.36E+09,2.95E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.0059682,3.99E-12,1.38E+09,4.34E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.0059121,3.96E-12,1.38E+09,4.29E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00581471,3.89E-12,1.40E+09,4.16E-12,Malania_oleifera,perennial,outcrossing,large
genome,0.00464754,3.11E-12,1.39E+09,3.34E-12,Malania_oleifera,perennial,outcrossing,large
