Sample,Het,adjusted_het,num_sites,site_adjusted,taxa,life_history,breeding_system,genome_size
SCsuper,0.028502,5.90E-09,4.62E+06,6.16E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.0288784,5.98E-09,4.63E+06,6.24E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.025042,5.18E-09,4.63E+06,5.41E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.0270583,5.60E-09,4.63E+06,5.85E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.028664,5.93E-09,4.62E+06,6.20E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.031247,6.47E-09,4.62E+06,6.76E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.021719,3.14E-09,6.70E+06,3.24E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0226575,3.27E-09,6.67E+06,3.40E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0226477,3.27E-09,6.68E+06,3.39E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0235901,3.41E-09,6.68E+06,3.53E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0231405,3.34E-09,6.68E+06,3.46E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0222454,3.21E-09,6.71E+06,3.32E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0230034,3.32E-09,6.69E+06,3.44E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0219018,3.16E-09,6.68E+06,3.28E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0228062,3.29E-09,6.68E+06,3.42E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0250438,3.62E-09,6.66E+06,3.76E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0247225,3.57E-09,6.66E+06,3.71E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0234208,3.38E-09,6.67E+06,3.51E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0206545,2.98E-09,6.67E+06,3.10E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0225182,3.25E-09,6.67E+06,3.37E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0225895,3.26E-09,6.66E+06,3.39E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0229683,3.32E-09,6.67E+06,3.44E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0230103,3.32E-09,6.67E+06,3.45E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0229766,3.32E-09,6.67E+06,3.45E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.022583,3.26E-09,6.67E+06,3.39E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0226607,3.27E-09,6.67E+06,3.40E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0225721,3.26E-09,6.66E+06,3.39E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0229214,3.31E-09,6.67E+06,3.44E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0229211,3.31E-09,6.68E+06,3.43E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0198976,2.87E-09,6.67E+06,2.98E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0216955,3.13E-09,6.68E+06,3.25E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0230016,3.32E-09,6.67E+06,3.45E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCOsuper,0.0251702,3.63E-09,6.66E+06,3.78E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.016228,5.70E-09,2.72E+06,5.96E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.016415,5.76E-09,2.68E+06,6.12E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.016774,5.89E-09,2.71E+06,6.20E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0174026,6.11E-09,2.71E+06,6.42E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0171492,6.02E-09,2.71E+06,6.33E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0169,5.93E-09,2.73E+06,6.19E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0168661,5.92E-09,2.69E+06,6.27E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0160455,5.63E-09,2.68E+06,5.98E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0169236,5.94E-09,2.70E+06,6.27E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0185594,6.52E-09,2.71E+06,6.85E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0184904,6.49E-09,2.70E+06,6.84E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0172762,6.07E-09,2.68E+06,6.44E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0151132,5.31E-09,2.69E+06,5.62E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0166681,5.85E-09,2.69E+06,6.19E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0170099,5.97E-09,2.70E+06,6.30E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0169732,5.96E-09,2.69E+06,6.31E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0168955,5.93E-09,2.69E+06,6.28E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0169247,5.94E-09,2.69E+06,6.30E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0167423,5.88E-09,2.69E+06,6.22E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0166874,5.86E-09,2.70E+06,6.19E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0166334,5.84E-09,2.68E+06,6.21E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0166662,5.85E-09,2.67E+06,6.24E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.016762,5.89E-09,2.68E+06,6.25E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0147827,5.19E-09,2.67E+06,5.54E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0158621,5.57E-09,2.68E+06,5.92E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.0168849,5.93E-09,2.68E+06,6.29E-09,Lotus_corniculatus,outcrossing,perennial,medium
BUSCO,0.018909,6.64E-09,2.72E+06,6.96E-09,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0238562,4.31E-11,3.35E+08,7.13E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0258548,4.67E-11,3.28E+08,7.88E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0262513,4.74E-11,3.30E+08,7.96E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0267098,4.82E-11,3.28E+08,8.15E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0255438,4.61E-11,3.33E+08,7.68E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0260577,4.71E-11,3.34E+08,7.81E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0266689,4.82E-11,3.36E+08,7.94E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0257041,4.64E-11,3.32E+08,7.73E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0261122,4.72E-11,3.35E+08,7.79E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0295678,5.34E-11,3.23E+08,9.14E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0289184,5.22E-11,3.23E+08,8.94E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0266858,4.82E-11,3.28E+08,8.13E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0231335,4.18E-11,3.20E+08,7.24E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0255205,4.61E-11,3.25E+08,7.84E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0254516,4.60E-11,3.18E+08,8.01E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.0268736,4.85E-11,3.27E+08,8.22E-11,Lotus_corniculatus,outcrossing,perennial,medium
genome,0.026149,4.72E-11,3.24E+08,8.07E-11,Lotus_corniculatus,outcrossing,perennial,medium
